subject_id,time_bin,valence,arousal
term149,09:00-12:00,2,-2
term143,09:00-12:00,1,-1
term19,09:00-12:00,1,1
term136,09:00-12:00,0,2
term125,09:00-12:00,-3,2
term157,09:00-12:00,2,4
term154,09:00-12:00,-2,-3
term142,09:00-12:00,-2,-1
term118,09:00-12:00,-2,-1
term148,09:00-12:00,-1,-2
term116,09:00-12:00,0,0
term141,09:00-12:00,-2,2
term119,09:00-12:00,-1,2
term16,09:00-12:00,1,-1
term142,09:00-12:00,-2,-1
term123,09:00-12:00,0,-3
term146,09:00-12:00,-3,4
term126,09:00-12:00,1,1
term157,09:00-12:00,-1,1
term139,09:00-12:00,2,-2
term151,09:00-12:00,-1,2
term110,09:00-12:00,2,-2
term119,09:00-12:00,2,-2
term134,09:00-12:00,-1,-2
term13,09:00-12:00,0,1
term142,09:00-12:00,-2,-1
term148,09:00-12:00,1,-2
term121,09:00-12:00,2,3
term127,09:00-12:00,0,-1
term110,09:00-12:00,2,-1
term142,09:00-12:00,-2,-1
term137,09:00-12:00,-3,-1
term128,09:00-12:00,3,-3
term19,09:00-12:00,0,2
term156,09:00-12:00,-1,3
term157,09:00-12:00,1,3
term132,09:00-12:00,-2,-2
term138,09:00-12:00,2,-1
term124,09:00-12:00,-1,2
term145,09:00-12:00,2,3
term155,09:00-12:00,0,-2
term115,09:00-12:00,3,0
term118,09:00-12:00,-1,-1
term136,09:00-12:00,-1,2
term125,09:00-12:00,3,2
term142,09:00-12:00,-2,0
term114,09:00-12:00,-1,2
term142,09:00-12:00,1,1
term152,09:00-12:00,-1,3
term14,09:00-12:00,1,1
term143,09:00-12:00,-1,1
term11,09:00-12:00,-1,-3
term129,09:00-12:00,-1,1
term12,09:00-12:00,-3,-2
term123,09:00-12:00,-2,-3
term125,09:00-12:00,-3,4
term16,09:00-12:00,-4,4
term142,09:00-12:00,-1,0
term143,09:00-12:00,-1,0
term140,09:00-12:00,4,1
term15,09:00-12:00,-1,1
term142,09:00-12:00,-2,-1
term16,09:00-12:00,-1,1
term133,09:00-12:00,2,1
term142,09:00-12:00,-2,0
term116,09:00-12:00,0,0
term155,09:00-12:00,2,0
term142,09:00-12:00,-2,-1
term157,09:00-12:00,1,1
term146,09:00-12:00,-4,4
term126,12:00-15:00,1,2
term144,12:00-15:00,-3,3
term121,12:00-15:00,2,0
term18,12:00-15:00,3,-1
term17,12:00-15:00,-1,1
term154,12:00-15:00,-2,3
term123,12:00-15:00,0,-2
term146,12:00-15:00,2,1
term129,12:00-15:00,1,0
term19,12:00-15:00,1,1
term19,12:00-15:00,1,1
term122,12:00-15:00,1,3
term125,12:00-15:00,1,-3
term145,12:00-15:00,0,3
term142,12:00-15:00,-2,0
term121,12:00-15:00,4,-1
term130,12:00-15:00,-1,-2
term155,12:00-15:00,2,2
term135,12:00-15:00,-2,1
term141,12:00-15:00,-1,3
term151,12:00-15:00,0,-3
term19,12:00-15:00,0,-1
term124,12:00-15:00,3,1
term132,12:00-15:00,2,1
term146,12:00-15:00,4,1
term154,12:00-15:00,-1,2
term113,12:00-15:00,1,1
term123,12:00-15:00,3,-4
term142,12:00-15:00,-2,0
term119,12:00-15:00,3,-2
term137,12:00-15:00,-1,-1
term148,12:00-15:00,2,-2
term126,12:00-15:00,-3,2
term134,12:00-15:00,3,-2
term146,12:00-15:00,-2,3
term12,12:00-15:00,3,-4
term16,12:00-15:00,-1,2
term122,12:00-15:00,-2,2
term17,12:00-15:00,0,0
term123,12:00-15:00,0,-4
term142,12:00-15:00,-2,-2
term132,12:00-15:00,2,-2
term149,12:00-15:00,3,-3
term142,12:00-15:00,-2,-2
term140,12:00-15:00,4,-4
term152,12:00-15:00,0,2
term16,12:00-15:00,-1,-1
term145,12:00-15:00,2,2
term156,12:00-15:00,2,-1
term119,12:00-15:00,2,-2
term118,12:00-15:00,1,2
term128,12:00-15:00,0,1
term133,12:00-15:00,0,-1
term136,12:00-15:00,-1,2
term127,12:00-15:00,-2,2
term157,12:00-15:00,-1,2
term125,12:00-15:00,1,-3
term19,12:00-15:00,0,-3
term142,12:00-15:00,-3,-3
term123,12:00-15:00,-4,0
term142,12:00-15:00,-3,-3
term157,12:00-15:00,-4,1
term132,12:00-15:00,3,-2
term132,12:00-15:00,2,-2
term127,12:00-15:00,-3,3
term143,12:00-15:00,4,-2
term119,12:00-15:00,2,0
term129,12:00-15:00,1,-1
term149,12:00-15:00,-3,3
term126,12:00-15:00,1,-1
term123,12:00-15:00,-1,0
term142,12:00-15:00,-3,-3
term115,12:00-15:00,3,0
term17,12:00-15:00,-1,1
term125,12:00-15:00,-2,4
term17,12:00-15:00,-1,1
term155,12:00-15:00,0,-1
term116,12:00-15:00,2,-2
term142,12:00-15:00,-2,-2
term146,12:00-15:00,-2,4
term134,12:00-15:00,2,3
term143,12:00-15:00,1,-1
term121,12:00-15:00,2,0
term128,12:00-15:00,0,2
term132,12:00-15:00,2,2
term124,12:00-15:00,1,-1
term12,12:00-15:00,2,-2
term119,12:00-15:00,0,0
term118,12:00-15:00,-2,2
term110,12:00-15:00,2,-1
term156,12:00-15:00,2,2
term140,12:00-15:00,-4,2
term19,12:00-15:00,1,0
term144,12:00-15:00,-2,3
term137,12:00-15:00,-1,1
term157,12:00-15:00,-1,-1
term130,12:00-15:00,1,1
term131,12:00-15:00,-1,1
term127,12:00-15:00,0,0
term151,12:00-15:00,0,0
term145,12:00-15:00,-2,3
term135,12:00-15:00,-1,1
term17,12:00-15:00,0,0
term142,12:00-15:00,-3,-2
term129,12:00-15:00,0,0
term123,12:00-15:00,-4,-3
term18,12:00-15:00,-2,2
term156,12:00-15:00,3,-2
term146,12:00-15:00,-4,4
term111,12:00-15:00,2,1
term132,12:00-15:00,-3,4
term17,12:00-15:00,-1,1
term125,12:00-15:00,1,2
term136,12:00-15:00,-1,3
term121,12:00-15:00,2,-1
term19,12:00-15:00,0,1
term142,12:00-15:00,-2,-2
term130,12:00-15:00,1,1
term142,12:00-15:00,-2,-2
term154,15:00-18:00,-2,2
term149,15:00-18:00,-2,3
term152,15:00-18:00,-2,4
term123,15:00-18:00,-4,2
term11,15:00-18:00,-1,0
term155,15:00-18:00,-1,-1
term142,15:00-18:00,-2,-1
term146,15:00-18:00,-4,4
term120,15:00-18:00,1,2
term118,15:00-18:00,2,-3
term142,15:00-18:00,-3,2
term142,15:00-18:00,-3,0
term157,15:00-18:00,-3,-1
term142,15:00-18:00,-2,-2
term121,15:00-18:00,4,0
term19,15:00-18:00,1,2
term119,15:00-18:00,2,-3
term130,15:00-18:00,-1,2
term139,15:00-18:00,0,1
term123,15:00-18:00,-1,1
term114,15:00-18:00,1,-1
term125,15:00-18:00,-3,3
term142,15:00-18:00,-1,0
term113,15:00-18:00,-2,2
term119,15:00-18:00,0,-3
term148,15:00-18:00,2,-2
term126,15:00-18:00,1,2
term126,15:00-18:00,-3,-2
term134,15:00-18:00,2,0
term142,15:00-18:00,-2,0
term157,15:00-18:00,1,-2
term123,15:00-18:00,0,-4
term151,15:00-18:00,-1,1
term137,15:00-18:00,-1,-1
term140,15:00-18:00,4,1
