analysis_label,data_kind,act_kind,data_count,valid_data_count,invalid_data_count,data_availability_rate,unique_subjects,date_range_start,date_range_end,sample_count,maximum,minimum,range,mean,median,variance,std,autocorr_lag1,autocorr_lag5,autocorr_lag10,trend_slope,trend_r_squared,trend_p_value
act_accz | Sessions(400-500),act,accz,500,471,29,94.19999999999999,3,'2022-10-10 08:07:37','2022-10-26 19:02:14',13293548,1.984375,-2.0,3.984375,0.6106975671111279,0.40625,0.8090155465129089,0.8994529151172443,0.7213303234781558,0.66660266586323,0.6476262172165563,-3.206917910243489e-06,0.0864574827364273,0.25464112087668056
act_accz | Sessions(500-600),act,accz,500,451,49,90.2,2,'2022-10-10 09:03:23','2022-10-26 19:52:00',12605912,1.984375,-2.0,3.984375,0.257578872020525,0.328125,0.22507033310404342,0.47441578083369385,0.9433474976199419,0.8704607535143055,0.824697886967208,-2.398035883042864e-06,0.091046364270007,0.014748995072505034
act_VI | NoCondition,act,VI,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,14.044060869014814,6.737485198414834e-11,14.044060868947438,0.040702092535101694,0.0005217232279392276,0.023091123675325658,0.15195763776568014,0.8813773338010894,0.5603856835062924,0.45935404830026144,-1.6889469323980218e-07,0.018916584459215978,0.035057037269798905
act_VI | Sessions(0-100),act,VI,500,424,76,84.8,6,'2022-10-10 07:58:52','2023-03-22 21:17:37',11787895,12.865465114629544,7.910866902953039e-11,12.865465114550435,0.049877217600591134,0.0013578147221784572,0.03039952486267339,0.17435459518657198,0.8870234901553399,0.5530176987005905,0.45510325919146405,-1.4912854621701257e-07,0.019869656677355435,0.032627187876262356
act_VI | Sessions(100-200),act,VI,500,352,148,70.39999999999999,5,'2022-10-10 07:28:31','2022-11-25 13:53:25',9750622,14.075900278245008,1.213404801197698e-10,14.075900278123667,0.040707185060819176,0.000597125952642577,0.024381999528613987,0.15614736478280378,0.8948776011744535,0.5691061757480808,0.46265644177032994,-2.4429379313555827e-07,0.01965828443020631,0.03690101121042371
act_VI | Sessions(200-300),act,VI,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,14.044060869014814,6.737485198414834e-11,14.044060868947438,0.040702092535101694,0.0005217232279392276,0.023091123675325658,0.15195763776568014,0.8813773338010894,0.5603856835062924,0.45935404830026144,-1.6889469323980218e-07,0.018916584459215978,0.035057037269798905
act_VI | Sessions(300-400),act,VI,500,446,54,89.2,4,'2022-10-10 06:27:14','2022-10-26 19:52:19',12461922,14.31053464638815,1.7887107172005046e-10,14.31053464620928,0.06110536186787293,0.003246457044653492,0.03218273809141416,0.1793954795735226,0.8884312747438212,0.5354671421376768,0.4380287539686401,-6.971764375881121e-07,0.018989604441064938,0.03469153565713276
act_VI | Sessions(400-500),act,VI,500,471,29,94.19999999999999,3,'2022-10-10 08:07:37','2022-10-26 19:02:14',13293548,15.319412976595173,1.194308366679063e-11,15.31941297658323,0.043007283549945055,0.0013303479888404851,0.027556451654643835,0.16600136039997937,0.858069539413226,0.5182605723754916,0.4251992538214995,-8.844845417101688e-08,0.01784786184054113,0.022140448052467086
act_VI | Sessions(500-600),act,VI,500,451,49,90.2,2,'2022-10-10 09:03:23','2022-10-26 19:52:00',12605912,13.930620812935366,1.6512648134762835e-09,13.930620811284102,0.05498061541088254,0.0015864266035709278,0.034074696124463864,0.18459332632699338,0.8761610210751815,0.53152250271828,0.4417423151330004,1.223728766710635e-07,0.020465822202621366,0.03041929605469634
act_gmx | NoCondition,act,gmx,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,1.1609539782558507,-1.1605465740836667,2.3215005523395176,-0.20590720479052438,-0.3385087601643118,0.29580938931915707,0.5438836174395741,0.9999393089473743,0.9984859779591364,0.9939841383466417,-5.7636556809986e-07,0.11543017755431896,0.008817196830390178
act_gmx | Sessions(0-100),act,gmx,500,424,76,84.8,6,'2022-10-10 07:58:52','2023-03-22 21:17:37',11787895,1.110370202152174,-1.1821319786260371,2.292502180778211,-0.3348906307477648,-0.5167952650698127,0.3001416125996152,0.547851816278467,0.9999309146945264,0.9982775222257302,0.9931592394761148,-1.976463719604539e-06,0.10972289476587291,0.016443644076294627
act_gmx | Sessions(100-200),act,gmx,500,352,148,70.39999999999999,5,'2022-10-10 07:28:31','2022-11-25 13:53:25',9750622,1.1164645009803777,-1.7619565735272802,2.878421074507658,-0.49326928797907205,-0.5578367947568783,0.15957780299656615,0.39947190514048186,0.9999324180377273,0.9983131706337768,0.9932939843279733,-1.990845214401671e-06,0.1253286585390467,0.019037801814056437
act_gmx | Sessions(200-300),act,gmx,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,1.1609539782558507,-1.1605465740836667,2.3215005523395176,-0.20590720479052438,-0.3385087601643118,0.29580938931915707,0.5438836174395741,0.9999393089473743,0.9984859779591364,0.9939841383466417,-5.7636556809986e-07,0.11543017755431896,0.008817196830390178
act_gmx | Sessions(300-400),act,gmx,500,446,54,89.2,4,'2022-10-10 06:27:14','2022-10-26 19:52:19',12461922,1.121363938564542,-1.1702354757095157,2.2915994142740574,-0.535193630685641,-0.5634237456824294,0.0985382152576344,0.3139079725932975,0.9999228500401165,0.9980799076521777,0.9923735916344977,-3.694833167892644e-07,0.08794414635562156,0.013565460935588297
act_gmx | Sessions(400-500),act,gmx,500,471,29,94.19999999999999,3,'2022-10-10 08:07:37','2022-10-26 19:02:14',13293548,1.1383129138783492,-1.2533179202666456,2.391630834144995,-0.5933475276415751,-0.7087412325676707,0.1534358131166152,0.3917088371694149,0.999932889809907,0.998348103638777,0.9934474266129383,-1.7594527516765926e-06,0.1239299815613616,0.013102453258257925
